"Date","Adj.Close"
2018-06-15,43.59
2018-06-18,43.759998
2018-06-19,41.889999
2018-06-20,41.68
2018-06-21,40.82
2018-06-22,40.82
2018-06-25,39.18
2018-06-26,39.470001
2018-06-27,38.389999
2018-06-28,38.93
2018-06-29,38.950001
2018-07-02,38.790001
2018-07-03,38.380001
2018-07-05,38.540001
2018-07-06,39.459999
2018-07-09,39.400002
2018-07-10,38.59
2018-07-11,37.950001
2018-07-12,38.52
2018-07-13,38.27
2018-07-16,38.040001
2018-07-17,37.990002
2018-07-18,37.529999
2018-07-19,36.880001
2018-07-20,35.509998
2018-07-23,35.66
2018-07-24,35.310001
2018-07-25,36.919998
2018-07-26,36.639999
2018-07-27,36.209999
2018-07-30,35.16
2018-07-31,35.860001
2018-08-01,36.279999
2018-08-02,36.290001
2018-08-03,36.169998
2018-08-06,35.900002
2018-08-07,36.5
2018-08-08,36
2018-08-09,36.02
2018-08-10,35.790001
2018-08-13,35.07
2018-08-14,33.869999
2018-08-15,32.360001
2018-08-16,31.969999
2018-08-17,32.220001
2018-08-20,33.040001
2018-08-21,32.799999
2018-08-22,32.34
2018-08-23,31.389999
2018-08-24,31.4
2018-08-27,32.669998
2018-08-28,32.16
2018-08-29,31.950001
2018-08-30,31
2018-08-31,31.299999
2018-09-04,29.43
2018-09-05,26.299999
2018-09-06,27.25
2018-09-07,26.950001
2018-09-10,26.530001
2018-09-11,27.09
2018-09-12,27.629999
2018-09-13,27.76
2018-09-14,27.110001
2018-09-17,25.73
2018-09-18,25.75
2018-09-19,26.92
2018-09-20,26.93
2018-09-21,26.49
2018-09-24,24.51
2018-09-25,24.540001
2018-09-26,25.200001
2018-09-27,25.43
2018-09-28,26.09
2018-10-01,25.49
2018-10-02,24.9
2018-10-03,25.139999
2018-10-04,24.32
2018-10-05,23.620001
2018-10-08,23.889999
2018-10-09,23.780001
2018-10-10,22.709999
2018-10-11,23.48
2018-10-12,24.450001
2018-10-15,24.139999
2018-10-16,24.629999
2018-10-17,23.68
2018-10-18,23.33
2018-10-19,23.01
2018-10-22,23.540001
2018-10-23,23.23
2018-10-24,21.76
2018-10-25,22.559999
2018-10-26,22.58
2018-10-29,21.98
2018-10-30,22.379999
